header,label,dataset_fold_1,dataset_fold_2,dataset_fold_3,dataset_fold_4,dataset_fold_5
Q72PR5,0,train,train,val,train,train
Q8X7X9,0,train,train,val,train,train
B5YXY4,0,train,train,val,train,train
C5D2K6,0,train,train,val,train,train
Q9HR49|B0R4B5,0,train,train,val,train,train
Q3ZBE0,0,train,train,val,train,train
Q0I0T3,0,train,train,val,train,train
B3QKU1,0,train,train,val,train,train
Q92PH7,0,train,train,val,train,train
Q9A5F0,0,train,train,val,train,train
Q03Y89,0,train,train,val,train,train
Q8CMP5,0,train,train,val,train,train
A8X493,0,train,train,val,train,train
Q05650,0,train,train,val,train,train
O00429,0,train,train,val,train,train
Q9MB58,0,train,train,val,train,train
Q2J0A5,0,train,train,val,train,train
B5EZW0,0,train,train,val,train,train
Q9Y223,0,train,train,val,train,train
A0A1V1FVQ6,0,train,train,val,train,train
O75342,0,train,train,val,train,train
A6WYD2,0,train,train,val,train,train
P53528,0,train,train,val,train,train
Q01574,0,train,train,val,train,train
A8I8B0,0,train,train,val,train,train
Q6D2L7,0,train,train,val,train,train
P46459,0,train,train,val,train,train
P16332,0,train,train,val,train,train
P42113,0,train,train,val,train,train
A0A1S4BZI5,0,train,train,val,train,train
Q87MM3,0,train,train,val,train,train
Q1J2D0,0,train,train,val,train,train
G4RK44,0,train,train,val,train,train
B9DGD6,0,train,train,val,train,train
Q9C723,0,train,train,val,train,train
P38604,0,train,train,val,train,train
Q8CTX6,0,train,train,val,train,train
Q757L1,0,train,train,val,train,train
Q88L02,0,train,train,val,train,train
Q218N3,0,train,train,val,train,train
A1RI92,0,train,train,val,train,train
A4XSM8,0,train,train,val,train,train
A0A2U1LIM9,0,train,train,val,train,train
P14166,0,train,train,val,train,train
B4TNZ1,0,train,train,val,train,train
A9BIH4,0,train,train,val,train,train
A0A2Z6AQX7,0,train,train,val,train,train
Q12473,0,train,train,val,train,train
Q9W3K5,0,train,train,val,train,train
Q05001,0,train,train,val,train,train
Q89IC0,0,train,train,train,val,train
C4ZVN2|B1X9L4|P77399,0,train,train,train,val,train
A1JK30,0,train,train,train,val,train
A1TRI4,0,train,train,train,val,train
Q811U4,0,train,train,train,val,train
Q0W6L1,0,train,train,train,val,train
A9B0A2,0,train,train,train,val,train
Q97VY9,0,train,train,train,val,train
P36120,0,train,train,train,val,train
P45726,0,train,train,train,val,train
P65345|P65344,0,train,train,train,val,train
B3PWJ0,0,train,train,train,val,train
P37330,0,train,train,train,val,train
Q6HPA4,0,train,train,train,val,train
Q04782,0,train,train,train,val,train
Q18JI5,0,train,train,train,val,train
D0PV95,0,train,train,train,val,train
Q9SI64,0,train,train,train,val,train
A6ZZY8,0,train,train,train,val,train
Q9M5P6,0,train,train,train,val,train
Q54KM0,0,train,train,train,val,train
O23924,0,train,train,train,val,train
Q6GG70,0,train,train,train,val,train
A9KIW5,0,train,train,train,val,train
O32219,0,train,train,train,val,train
Q9WVI4,0,train,train,train,val,train
Q11IV2,0,train,train,train,val,train
O23141,0,train,train,train,val,train
Q46266,0,train,train,train,val,train
Q8A7T2,0,train,train,train,val,train
Q8ZND6,0,train,train,train,val,train
P10248,0,train,train,train,val,train
G5EFH8,0,train,train,train,val,train
D0KN27,0,train,train,train,val,train
Q9QUJ7,0,train,train,train,val,train
P19143,0,train,train,train,val,train
Q2KHW5,0,train,train,train,val,train
Q8FZ50,0,train,train,train,val,train
A3Q8U4,0,train,train,train,val,train
Q7TVV6,0,train,train,train,val,train
B5R3R9,0,train,train,train,val,train
Q9XYU0,0,train,train,train,val,train
Q43075,0,train,train,train,val,train
E9Q9A9,0,train,train,train,val,train
Q4P521,0,train,train,train,val,train
P9WEV6,0,train,train,train,val,train
A9IVH5,0,train,train,train,val,train
Q163V9,0,train,train,train,val,train
A6TC19,0,train,train,train,val,train
Q726S7,0,train,train,train,val,train
Q6LTK3,0,train,train,train,val,train
P93008,0,train,train,train,val,train
D3ZHR2,0,train,train,train,val,train
Q8Y6C1,0,train,train,train,val,train
O05690,0,train,train,train,val,train
Q7CJ96,0,train,train,train,val,train
I3L5V6,0,train,train,train,val,train
Q6GIX1,0,train,train,train,val,train
Q9NR19,0,train,train,train,val,train
A8GYG0,0,train,train,train,val,train
Q2G630,0,train,train,train,val,train
P38766,0,train,train,train,val,train
A8A6V1,0,train,train,train,val,train
A8FM09,0,train,train,train,val,train
Q91WG8,0,train,train,train,val,train
Q63GT3,0,train,train,train,val,train
Q21U20,0,train,train,train,val,train
Q1I7D4,0,train,train,train,val,train
B4TQC2,0,train,train,train,val,train
A6UX13,0,train,train,train,train,val
Q9ZB06|A2RJW3,0,train,train,train,train,val
A6WHA0,0,train,train,train,train,val
Q4R5S7,0,train,train,train,train,val
P75437,0,train,train,train,train,val
Q5LEY1,0,train,train,train,train,val
B0WQG0,0,train,train,train,train,val
Q4FQC6,0,train,train,train,train,val
Q32A21,0,train,train,train,train,val
A9KQ75,0,train,train,train,train,val
Q8KIL1,0,train,train,train,train,val
Q03674,0,train,train,train,train,val
B2GF74,0,train,train,train,train,val
P0CQ88|P0CQ89,0,train,train,train,train,val
A0AJM3,0,train,train,train,train,val
P27253,0,train,train,train,train,val
Q83LU7,0,train,train,train,train,val
Q6KZR2,0,train,train,train,train,val
Q13BC6,0,train,train,train,train,val
A1S1I8,0,train,train,train,train,val
A4IJX3,0,train,train,train,train,val
Q38XW7,0,train,train,train,train,val
Q60048,0,train,train,train,train,val
A9N453,0,train,train,train,train,val
O67691,0,train,train,train,train,val
Q8BLN5,0,train,train,train,train,val
F1Q8K0,0,train,train,train,train,val
Q5R5M8,0,train,train,train,train,val
B7NFE7,0,train,train,train,train,val
Q9M3B6,0,train,train,train,train,val
Q5R668,0,train,train,train,train,val
Q0K9H3,0,train,train,train,train,val
B7GFT8,0,train,train,train,train,val
A9MYB0|Q57HM6,0,train,train,train,train,val
P16578,0,train,train,train,train,val
Q5HN29,0,train,train,train,train,val
Q4R5Y2,0,train,train,train,train,val
Q9VGW6,0,train,train,train,train,val
A8ABX6,0,train,train,train,train,val
A9VRF1,0,train,train,train,train,val
B5ZQU1,0,train,train,train,train,val
C1KW68,0,train,train,train,train,val
Q42523,0,train,train,train,train,val
P50872,0,train,train,train,train,val
Q9H5Z1,0,train,train,train,train,val
Q0DZE0,0,train,train,train,train,val
Q3IQL3,0,train,train,train,train,val
B1IXA5,0,train,train,train,train,val
Q8ECP7,0,train,train,train,train,val
Q4WRH5,0,train,train,train,train,val
Q9SMK9,0,train,train,train,train,val
P59663,0,train,train,train,train,val
B0SB88|B0ST16,0,train,train,train,train,val
Q465R3,0,train,train,train,train,val
B0XSH8|Q4X122,0,train,train,train,train,val
B0KBQ5,0,train,train,train,train,val
Q8U491,0,train,train,train,train,val
P9WEN6,0,train,train,train,train,val
Q6KAJ4,0,train,train,train,train,val
P46633,0,train,train,train,train,val
Q0HWN3,0,train,train,train,train,val
Q20875,0,train,train,train,train,val
P90518,0,train,train,train,train,val
C5YJG8,0,train,train,train,train,val
Q5E8X6,0,train,train,train,train,val
Q9M0Y8,0,train,train,train,train,val
B5ZVA2,0,train,train,train,train,val
A7ZPF8,0,train,train,train,train,val
Q42858,0,train,train,train,train,val
E7DN64,0,val,train,train,train,train
C0ZP44,0,val,train,train,train,train
Q8GRC3,0,val,train,train,train,train
P46839,0,val,train,train,train,train
Q84N64,0,val,train,train,train,train
A4TM82,0,val,train,train,train,train
Q3ARU4,0,val,train,train,train,train
Q09903,0,val,train,train,train,train
P77154,0,val,train,train,train,train
E2IUB0,0,val,train,train,train,train
P25170,0,val,train,train,train,train
P19414,0,val,train,train,train,train
B9X0J1,0,val,train,train,train,train
P0CN86,0,val,train,train,train,train
A0A2K9RFY0,0,val,train,train,train,train
P35597,0,val,train,train,train,train
Q5RA62,0,val,train,train,train,train
Q9FT77,0,val,train,train,train,train
Q51698,0,val,train,train,train,train
P12382,0,val,train,train,train,train
Q4WES9,0,val,train,train,train,train
Q8K1N1,0,val,train,train,train,train
O50008,0,val,train,train,train,train
Q9FJV8,0,val,train,train,train,train
Q5AF95,0,val,train,train,train,train
Q6CRF4,0,val,train,train,train,train
Q0B6M7,0,val,train,train,train,train
Q2RZ77,0,val,train,train,train,train
Q9VHP0,0,val,train,train,train,train
B1VV57,0,val,train,train,train,train
Q0VR89,0,val,train,train,train,train
B3GY43,0,val,train,train,train,train
Q68Y62,0,val,train,train,train,train
P19801,0,val,train,train,train,train
A0A5P8DI06,0,val,train,train,train,train
A4J5C3,0,val,train,train,train,train
P47857,0,val,train,train,train,train
P27710,0,val,train,train,train,train
B8XA41,0,val,train,train,train,train
B7NV51,0,val,train,train,train,train
Q6FPT7,0,val,train,train,train,train
O67606,0,val,train,train,train,train
Q2QLY4,0,val,train,train,train,train
A0A0U2U4F3,0,train,val,train,train,train
A0A075FBT3,0,train,val,train,train,train
A7FDD3,0,train,val,train,train,train
B5RFN3,0,train,val,train,train,train
G8GJ96,0,train,val,train,train,train
Q5R636,0,train,val,train,train,train
P35172,0,train,val,train,train,train
Q9UV63,0,train,val,train,train,train
Q1RMT1,0,train,val,train,train,train
Q6HEG3,0,train,val,train,train,train
P57142,0,train,val,train,train,train
Q6BTL5,0,train,val,train,train,train
E2IUA9,0,train,val,train,train,train
Q82ZG8,0,train,val,train,train,train
A0A125SXN1,0,train,val,train,train,train
P54861,0,train,val,train,train,train
Q9CID5,0,train,val,train,train,train
Q82UP6,0,train,val,train,train,train
Q6C835,0,train,val,train,train,train
Q75C76,0,train,val,train,train,train
Q93JY3,0,train,val,train,train,train
Q92411,0,train,val,train,train,train
P38112,0,train,val,train,train,train
A5VPI9,0,train,val,train,train,train
Q9ZFV8,0,train,val,train,train,train
Q8FBM1,0,train,val,train,train,train
A1CTL8,0,train,val,train,train,train
Q60HD9,0,train,val,train,train,train
Q5R600,0,train,val,train,train,train
B2I621|Q87BY8,0,train,val,train,train,train
Q8EIM0,0,train,val,train,train,train
Q731W2,0,train,val,train,train,train
O32797,0,train,val,train,train,train
P47858,0,train,val,train,train,train
Q933N0,0,train,val,train,train,train
A1T007,0,train,val,train,train,train
Q9SYN1,0,train,val,train,train,train
G8EWC8,0,train,val,train,train,train
B8AMB8|Q6ATS0,0,train,val,train,train,train
Q8KA71,0,train,val,train,train,train
Q4WV71,0,train,val,train,train,train
Q60HG1,0,train,val,train,train,train
Q02870,0,train,val,train,train,train
Q4I830,0,train,train,val,train,train
P18483,0,train,train,val,train,train
A3NY08,0,train,train,val,train,train
B7VAU6,0,train,train,val,train,train
A6ZPU3,0,train,train,val,train,train
Q0S6X7,0,train,train,val,train,train
P52777,0,train,train,val,train,train
Q8TM02,0,train,train,val,train,train
Q7TN73,0,train,train,val,train,train
Q57HP2,0,train,train,val,train,train
A7H2H6,0,train,train,val,train,train
A5G0M4,0,train,train,val,train,train
A0A8K1AY78,0,train,train,val,train,train
Q7S0S2,0,train,train,val,train,train
Q8W3Z1,0,train,train,val,train,train
P0CQ90,0,train,train,val,train,train
B8JBS8,0,train,train,val,train,train
A7A0P8,0,train,train,val,train,train
A7TJ71,0,train,train,val,train,train
Q9C8S9,0,train,train,val,train,train
B1Z0R8,0,train,train,val,train,train
Q9LRH8,0,train,train,val,train,train
Q2JKE8,0,train,train,val,train,train
Q709F0,0,train,train,val,train,train
O33819,0,train,train,val,train,train
Q29554,0,train,train,val,train,train
Q02L76,0,train,train,val,train,train
A1CX72,0,train,train,val,train,train
P42632,0,train,train,val,train,train
O95140,0,train,train,val,train,train
P16386,0,train,train,val,train,train
A7HIJ4,0,train,train,val,train,train
A0A075FA51,0,train,train,val,train,train
A6V1K5,0,train,train,val,train,train
A6QLJ0,0,train,train,val,train,train
A1JIE5,0,train,train,val,train,train
Q9AAW1,0,train,train,val,train,train
Q61391,0,train,train,val,train,train
Q4WUL6,0,train,train,val,train,train
Q8W4M7,0,train,train,val,train,train
O30808,0,train,train,val,train,train
Q381F9,0,train,train,val,train,train
Q58FL6,0,train,train,val,train,train
Q7MJM6,0,train,train,train,val,train
B2VI65,0,train,train,train,val,train
A0QAT1,0,train,train,train,val,train
A8MB76,0,train,train,train,val,train
Q8YR06,0,train,train,train,val,train
A0A125SXN3,0,train,train,train,val,train
O30807,0,train,train,train,val,train
Q11PV4,0,train,train,train,val,train
Q58DK1,0,train,train,train,val,train
P23538,0,train,train,train,val,train
Q5RAZ4,0,train,train,train,val,train
A0A1X9ISH5,0,train,train,train,val,train
Q92370,0,train,train,train,val,train
B4PYH5,0,train,train,train,val,train
P20004,0,train,train,train,val,train
Q38861,0,train,train,train,val,train
Q09748,0,train,train,train,val,train
P9WPS3|P9WPS2,0,train,train,train,val,train
B6EXY6,0,train,train,train,val,train
Q8GUG7,0,train,train,train,val,train
Q6CEB8,0,train,train,train,val,train
P00815,0,train,train,train,val,train
Q16GH0,0,train,train,train,val,train
Q9SJE1,0,train,train,train,val,train
Q8DIA7,0,train,train,train,val,train
Q12WZ6,0,train,train,train,val,train
Q8KRG6,0,train,train,train,val,train
Q0TAP6,0,train,train,train,val,train
Q4WWE9,0,train,train,train,val,train
Q8DJY0,0,train,train,train,val,train
Q7TZA8|H8F3R6|Q8VJU4,0,train,train,train,val,train
Q96PH1,0,train,train,train,val,train
A4QYM6,0,train,train,train,val,train
Q01738,0,train,train,train,val,train
Q9CG55,0,train,train,train,val,train
Q10MH8,0,train,train,train,val,train
B2UJ81,0,train,train,train,val,train
P0C218,0,train,train,train,val,train
Q27778,0,train,train,train,val,train
Q99KI0,0,train,train,train,val,train
Q6DAS2,0,train,train,train,val,train
A5DPU0,0,train,train,train,val,train
Q7VRI8,0,train,train,train,val,train
P0CW78,0,train,train,train,train,val
A0A059ZV61,0,train,train,train,train,val
A7TEG8,0,train,train,train,train,val
B8DUK6,0,train,train,train,train,val
Q5N1Y6|Q55041,0,train,train,train,train,val
Q948R6,0,train,train,train,train,val
Q4G005,0,train,train,train,train,val
P24773,0,train,train,train,train,val
Q5XTS1,0,train,train,train,train,val
P49620,0,train,train,train,train,val
Q23917,0,train,train,train,train,val
E2IUA6,0,train,train,train,train,val
Q5EBA1,0,train,train,train,train,val
P05694,0,train,train,train,train,val
P00908,0,train,train,train,train,val
Q1LUC3,0,train,train,train,train,val
Q1E9T9,0,train,train,train,train,val
O28339,0,train,train,train,train,val
Q91WG7,0,train,train,train,train,val
P08237,0,train,train,train,train,val
A0A1W6QDJ1,0,train,train,train,train,val
P9WHL6,0,train,train,train,train,val
B5XYJ1,0,train,train,train,train,val
A5E3K3,0,train,train,train,train,val
Q6BXG0,0,train,train,train,train,val
Q2UHB7,0,train,train,train,train,val
Q5HTR3,0,train,train,train,train,val
G1DGI7,0,train,train,train,train,val
G3E4M4,0,train,train,train,train,val
A3N1F9,0,train,train,train,train,val
Q2IHC1,0,train,train,train,train,val
A1KTL3,0,train,train,train,train,val
Q8X6C7,0,train,train,train,train,val
Q21N29,0,train,train,train,train,val
P07861,0,train,train,train,train,val
A6QNM2,0,train,train,train,train,val
Q7MZ74,0,train,train,train,train,val
A8C980,0,train,train,train,train,val
Q4IAS1,0,train,train,train,train,val
P0C8Y0,0,train,train,train,train,val
A0A0A7HFE1,0,train,train,train,train,val
A0A348DU52,0,train,train,train,train,val
Q87XJ9,0,train,train,train,train,val
P86937,0,val,train,train,train,train
Q52675,0,val,train,train,train,train
Q4DLX9,0,val,train,train,train,train
P40134,0,val,train,train,train,train
G5EEM9,0,val,train,train,train,train
O57830,0,val,train,train,train,train
P29352,0,val,train,train,train,train
A2VD33,0,val,train,train,train,train
A0A1C7AAN2,0,val,train,train,train,train
Q9KRF0,0,val,train,train,train,train
B3F2X7,0,val,train,train,train,train
P25694,0,val,train,train,train,train
Q9QNB1,0,val,train,train,train,train
Q80YV4,0,val,train,train,train,train
B7YZV4,0,val,train,train,train,train
Q57366,0,val,train,train,train,train
Q1DMX8,0,val,train,train,train,train
Q54MH8,0,val,train,train,train,train
Q312S2,0,val,train,train,train,train
P42435,0,val,train,train,train,train
P54889,0,val,train,train,train,train
Q6P1V8,0,val,train,train,train,train
A4H5X5,0,val,train,train,train,train
Q23243,0,val,train,train,train,train
P44798,0,val,train,train,train,train
O32220,0,val,train,train,train,train
Q9BYF1,0,val,train,train,train,train
Q28CM3,0,val,train,train,train,train
Q99R80|A6U4T8|A5IVY3|Q7A3E6|A7X6S1,0,val,train,train,train,train
Q21489,0,val,train,train,train,train
P15736,0,val,train,train,train,train
Q6CIF0,0,val,train,train,train,train
Q5ZMN2,0,val,train,train,train,train
Q9YEC5,0,val,train,train,train,train
Q2UH00,0,val,train,train,train,train
P40136,0,val,train,train,train,train
A1CNV8,0,val,train,train,train,train
P53848,0,val,train,train,train,train
Q4JXF0,0,val,train,train,train,train
Q30W70,0,val,train,train,train,train
Q4R4D7,0,val,train,train,train,train
Q0WNZ5,0,val,train,train,train,train
B0Y691|Q4WPE6,0,val,train,train,train,train
Q8K9U9,0,val,train,train,train,train
P40433,0,val,train,train,train,train
A4HU70,0,train,val,train,train,train
Q498J7,0,train,val,train,train,train
Q9Y2R2,0,train,val,train,train,train
A0A3L7I2I8,0,train,val,train,train,train
Q87QI7,0,train,val,train,train,train
Q6WNV6,0,train,val,train,train,train
Q5AD67,0,train,val,train,train,train
Q56NL1,0,train,val,train,train,train
Q6G6B7|Q8NUQ9,0,train,val,train,train,train
Q54GJ2,0,train,val,train,train,train
Q8BB04,0,train,val,train,train,train
Q6BZD9,0,train,val,train,train,train
P90521,0,train,val,train,train,train
Q89AR4,0,train,val,train,train,train
Q9PLG1,0,train,val,train,train,train
Q09772,0,train,val,train,train,train
A7F4L5,0,train,val,train,train,train
Q5F310,0,train,val,train,train,train
A1CTZ2,0,train,val,train,train,train
Q39586,0,train,val,train,train,train
P38132,0,train,val,train,train,train
P13060,0,train,val,train,train,train
P15112,0,train,val,train,train,train
A7EGG4,0,train,val,train,train,train
Q7S873,0,train,val,train,train,train
P97311,0,train,val,train,train,train
Q7N6I1,0,train,val,train,train,train
A6RUH2,0,train,val,train,train,train
Q6ZKV8,0,train,val,train,train,train
P30528,0,train,val,train,train,train
P54748,0,train,val,train,train,train
O29777,0,train,val,train,train,train
P0DQQ4,0,train,val,train,train,train
P78875,0,train,val,train,train,train
P57290,0,train,val,train,train,train
A0A1D6K6U5,0,train,val,train,train,train
O14145,0,train,val,train,train,train
Q58DD0,0,train,val,train,train,train
Q0CZN5,0,train,val,train,train,train
Q9FZ57,0,train,val,train,train,train
F9UNH3,0,train,val,train,train,train
O60058,0,train,val,train,train,train
Q9U6M1,0,train,val,train,train,train
F8DIF2,0,train,val,train,train,train
A2XVF7|A3AVH5,0,train,val,train,train,train
Q6FYA7,0,train,train,val,train,train
Q9KVL2,0,train,train,val,train,train
Q9XYU1,0,train,train,val,train,train
Q2QQJ5,0,train,train,val,train,train
Q9DF36,0,train,train,val,train,train
A0A0U4CDK4,0,train,train,val,train,train
Q6CPQ9,0,train,train,val,train,train
P08170,0,train,train,val,train,train
Q7ZU99,0,train,train,val,train,train
Q8R0I0,0,train,train,val,train,train
Q4DBW3,0,train,train,val,train,train
H8ZM70,0,train,train,val,train,train
Q53W19,0,train,train,val,train,train
Q06193,0,train,train,val,train,train
Q6GDP1,0,train,train,val,train,train
P25205,0,train,train,val,train,train
Q10061,0,train,train,val,train,train
Q0CLW8,0,train,train,val,train,train
B1NKT1,0,train,train,val,train,train
Q7RZ35,0,train,train,val,train,train
Q9TZL8,0,train,train,val,train,train
Q0V1Z7,0,train,train,val,train,train
Q6K7R9,0,train,train,val,train,train
Q6BJ25,0,train,train,val,train,train
P49621,0,train,train,val,train,train
Q7Q0Q1,0,train,train,val,train,train
P00561,0,train,train,val,train,train
Q90185,0,train,train,val,train,train
G3CCC0,0,train,train,val,train,train
Q29JI9,0,train,train,val,train,train
Q6CAX3,0,train,train,val,train,train
Q93Y39,0,train,train,val,train,train
P00936,0,train,train,val,train,train
Q0JEZ8,0,train,train,val,train,train
O88502,0,train,train,val,train,train
Q3ZBT1,0,train,train,val,train,train
P28996,0,train,train,val,train,train
Q86XP0,0,train,train,val,train,train
Q7KN62,0,train,train,val,train,train
Q6CKI1,0,train,train,val,train,train
A0A0M4M0T9,0,train,train,val,train,train
Q9SF37,0,train,train,val,train,train
Q3ZK57,0,train,train,val,train,train
A6SRX6,0,train,train,val,train,train
P46893,0,train,train,val,train,train
O23755,0,train,train,train,val,train
Q23716,0,train,train,train,val,train
P37024,0,train,train,train,val,train
O76819,0,train,train,train,val,train
Q54X49,0,train,train,train,val,train
P58341,0,train,train,train,val,train
Q8TLB0,0,train,train,train,val,train
Q28BS0,0,train,train,train,val,train
Q0UMB9,0,train,train,train,val,train
P55072|Q01853,0,train,train,train,val,train
A7J392,0,train,train,train,val,train
Q55681,0,train,train,train,val,train
Q9BUQ8,0,train,train,train,val,train
Q9M3H5,0,train,train,train,val,train
Q8GAI3,0,train,train,train,val,train
O81086,0,train,train,train,val,train
P25206,0,train,train,train,val,train
Q821S4,0,train,train,train,val,train
Q0U6X2,0,train,train,train,val,train
Q6FML5,0,train,train,train,val,train
Q6Z5J6,0,train,train,train,val,train
P21372,0,train,train,train,val,train
Q6WAT6,0,train,train,train,val,train
Q9ZMV4,0,train,train,train,val,train
Q9AGP8,0,train,train,train,val,train
Q01757,0,train,train,train,val,train
Q5R8G6,0,train,train,train,val,train
A0A2D0TC04,0,train,train,train,val,train
Q00578,0,train,train,train,val,train
P46923,0,train,train,train,val,train
P05465,0,train,train,train,val,train
P54811,0,train,train,train,val,train
Q9VL72,0,train,train,train,val,train
A0A2K9RFZ8,0,train,train,train,val,train
Q4W9B8,0,train,train,train,val,train
I0IUP3,0,train,train,train,val,train
Q5MQ85,0,train,train,train,val,train
Q6F353,0,train,train,train,val,train
P54812,0,train,train,train,val,train
O60658,0,train,train,train,val,train
B1NKR1,0,train,train,train,val,train
Q8LGM7,0,train,train,train,val,train
A2BZA6,0,train,train,train,val,train
Q6WNV8,0,train,train,train,val,train
Q8D8S3,0,train,train,train,val,train
B1NKR5,0,train,train,train,train,val
F4KAB8,0,train,train,train,train,val
F4JFJ3,0,train,train,train,train,val
A3LN13,0,train,train,train,train,val
Q1HPK6,0,train,train,train,train,val
Q4QSN4,0,train,train,train,train,val
P58342,0,train,train,train,train,val
Q05733,0,train,train,train,train,val
Q38802,0,train,train,train,train,val
Q2UQI6,0,train,train,train,train,val
Q46I59,0,train,train,train,train,val
Q56H28,0,train,train,train,train,val
A7TTL0,0,train,train,train,train,val
Q9Y6T7,0,train,train,train,train,val
P58362,0,train,train,train,train,val
Q7ZXZ0,0,train,train,train,train,val
B1NKU3,0,train,train,train,train,val
Q5EGZ1,0,train,train,train,train,val
P33225,0,train,train,train,train,val
P97570,0,train,train,train,train,val
Q381V6,0,train,train,train,train,val
P39055,0,train,train,train,train,val
A1CHL0,0,train,train,train,train,val
Q9ASR1,0,train,train,train,train,val
P59739,0,train,train,train,train,val
O80452,0,train,train,train,train,val
A6ZLH6,0,train,train,train,train,val
A2QAX7,0,train,train,train,train,val
P08201,0,train,train,train,train,val
Q8IU29,0,train,train,train,train,val
Q9V461,0,train,train,train,train,val
P37386,0,train,train,train,train,val
O05442|A0A0H3MAA9,0,train,train,train,train,val
Q0UHM7,0,train,train,train,train,val
P14270,0,train,train,train,train,val
P0CQ92|P0CQ93,0,train,train,train,train,val
Q9CK41,0,train,train,train,train,val
O74712,0,train,train,train,train,val
B2BMF9,0,train,train,train,train,val
J9VYP5,0,train,train,train,train,val
Q8XAP1,0,train,train,train,train,val
Q9UV64,0,train,train,train,train,val
Q7RZH4,0,train,train,train,train,val
A0A1L6Z3A5,0,train,train,train,train,val
Q91HJ9,0,train,train,train,train,val
Q2SL23,0,val,train,train,train,train
A0SXL6,0,val,train,train,train,train
Q5SKL7|Q72L05,0,val,train,train,train,train
A4VN44,0,val,train,train,train,train
B6EMN4,0,val,train,train,train,train
O34431,0,val,train,train,train,train
M4HY08,0,val,train,train,train,train
Q87L54,0,val,train,train,train,train
P29691,0,val,train,train,train,train
P25516,0,val,train,train,train,train
P14856,0,val,train,train,train,train
Q0VCU1,0,val,train,train,train,train
Q1CNQ7|A4TRH7|Q8ZA84|Q1CBV8,0,val,train,train,train,train
A1SRH8,0,val,train,train,train,train
P0A9Q8|P0A9Q7,0,val,train,train,train,train
P51060,0,val,train,train,train,train
Q96376,0,val,train,train,train,train
G9MAN7,0,val,train,train,train,train
P49717,0,val,train,train,train,train
A5DUW8,0,val,train,train,train,train
Q7MAX5,0,val,train,train,train,train
Q9LMI0,0,val,train,train,train,train
O80738,0,val,train,train,train,train
P37831,0,val,train,train,train,train
Q1W675,0,val,train,train,train,train
P35913,0,val,train,train,train,train
Q17152,0,val,train,train,train,train
Q5YQD7,0,val,train,train,train,train
M4HY05,0,val,train,train,train,train
C6DI86,0,val,train,train,train,train
P27664,0,val,train,train,train,train
P13639|Q5R8Z3,0,val,train,train,train,train
P00347,0,val,train,train,train,train
P49102,0,val,train,train,train,train
Q01237,0,val,train,train,train,train
Q68VV0,0,val,train,train,train,train
A5UIY9,0,val,train,train,train,train
O76074,0,val,train,train,train,train
Q0RHA0,0,val,train,train,train,train
A6RSH5,0,val,train,train,train,train
F5HID8|Q5KA65,0,val,train,train,train,train
Q38710,0,val,train,train,train,train
O59868,0,train,val,train,train,train
P39052,0,train,val,train,train,train
Q6YZX6,0,train,val,train,train,train
Q6DAR6,0,train,val,train,train,train
C5BC63,0,train,val,train,train,train
F1R345,0,train,val,train,train,train
M4HYP3,0,train,val,train,train,train
Q26454,0,train,val,train,train,train
H8ZM71,0,train,val,train,train,train
O96237,0,train,val,train,train,train
F4JHA2,0,train,val,train,train,train
Q03101,0,train,val,train,train,train
B0KS63,0,train,val,train,train,train
A1AID4|B7MI92|Q1R3V5,0,train,val,train,train,train
Q9GZR7,0,train,val,train,train,train
A3Q9C4,0,train,val,train,train,train
Q01217,0,train,val,train,train,train
P49050,0,train,val,train,train,train
A7F8V8,0,train,val,train,train,train
P22945,0,train,val,train,train,train
P10271,0,train,val,train,train,train
A4WG55,0,train,val,train,train,train
Q38HX4,0,train,val,train,train,train
P9WMR2|P59966,0,train,val,train,train,train
P49731,0,train,val,train,train,train
P33991,0,train,val,train,train,train
Q76L33,0,train,val,train,train,train
B1IVC2|Q8FB98|B7M710|A7ZUH4|Q3YV20|A8A764|Q0TAA4|B7NFQ6|B7LA56|B6I5H2,0,train,val,train,train,train
O22507,0,train,val,train,train,train
P05197,0,train,val,train,train,train
Q9I2V5,0,train,val,train,train,train
Q9ZD55,0,train,val,train,train,train
Q68WP2,0,train,val,train,train,train
A6VUQ5,0,train,val,train,train,train
Q28263,0,train,val,train,train,train
Q90705,0,train,val,train,train,train
Q2J8X3,0,train,val,train,train,train
P20095,0,train,val,train,train,train
Q9ZL64,0,train,val,train,train,train
Q886R9,0,train,val,train,train,train
Q75KR1,0,train,val,train,train,train
P50570,0,train,val,train,train,train
A6ZM04,0,train,train,val,train,train
P09445,0,train,train,val,train,train
Q6GL41,0,train,train,val,train,train
A4SIM0,0,train,train,val,train,train
B9DFX7,0,train,train,val,train,train
A6H7I5,0,train,train,val,train,train
P38297,0,train,train,val,train,train
Q9IZT2,0,train,train,val,train,train
Q8ZRS8,0,train,train,val,train,train
Q8Z2M4,0,train,train,val,train,train
P54898,0,train,train,val,train,train
P49735,0,train,train,val,train,train
Q9UUI7,0,train,train,val,train,train
P39865,0,train,train,val,train,train
Q4ULI7,0,train,train,val,train,train
P04035,0,train,train,val,train,train
Q8DPW5|Q04KL8,0,train,train,val,train,train
Q0WUI9,0,train,train,val,train,train
P78036,0,train,train,val,train,train
Q9AYT5,0,train,train,val,train,train
P51160,0,train,train,val,train,train
A3BT52,0,train,train,val,train,train
